index,doc_code,spec_code,spec_es,spec_en,year,n_visits,n_surgeries,n_patients,c_visit,c_surgery,dep_code,department
0,16449291,22,anestesiologia y reanimacion,anesthesiology and resuscitation,2008,59,1,67,21.69,205.85,76,valle del cauca
1,31865019,22,anestesiologia y reanimacion,anesthesiology and resuscitation,2008,85,2,89,21.69,205.85,76,valle del cauca
2,8682278,22,anestesiologia y reanimacion,anesthesiology and resuscitation,2008,6,4,6,21.69,205.85,8,atlantico
3,19188542,120,cardiologia,cardiology,2008,24,3,24,29.51,209.02,54,n. de santander
4,70115939,120,cardiologia,cardiology,2008,429,104,430,29.51,209.02,5,antioquia
5,71593942,120,cardiologia,cardiology,2008,348,61,311,29.51,209.02,5,antioquia
6,71622813,120,cardiologia,cardiology,2008,354,40,345,29.51,209.02,5,antioquia
7,73085294,120,cardiologia,cardiology,2008,61,1,36,29.51,209.02,13,bolivar
8,98543766,130,cirugia cardiovascular,cardiovascular surgery,2008,13,1,12,25.46,527.5,5,antioquia
9,8313225,130,cirugia cardiovascular,cardiovascular surgery,2008,22,6,23,25.46,527.5,5,antioquia
10,8274072,130,cirugia cardiovascular,cardiovascular surgery,2008,44,2,35,25.46,527.5,5,antioquia
11,4326787,130,cirugia cardiovascular,cardiovascular surgery,2008,14,4,16,25.46,527.5,5,antioquia
12,19265996,130,cirugia cardiovascular,cardiovascular surgery,2008,12,2,11,25.46,527.5,11,bogota
13,93364316,130,cirugia cardiovascular,cardiovascular surgery,2008,3,2,4,25.46,527.5,73,tolima
14,17196573,130,cirugia cardiovascular,cardiovascular surgery,2008,5,1,5,25.46,527.5,5,antioquia
15,14224673,130,cirugia cardiovascular,cardiovascular surgery,2008,8,1,9,25.46,527.5,73,tolima
16,19111501,130,cirugia cardiovascular,cardiovascular surgery,2008,48,4,33,25.46,527.5,5,antioquia
17,70125587,131,cirugia de cabeza y cuello,head and neck surgery,2008,37,2,30,28.62,236.61,5,antioquia
18,79140821,131,cirugia de cabeza y cuello,head and neck surgery,2008,15,1,18,28.62,236.61,11,bogota
19,79143155,131,cirugia de cabeza y cuello,head and neck surgery,2008,45,2,36,28.62,236.61,11,bogota
20,17138438,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,58,5,45,29.05,406.83,11,bogota
21,19094945,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,61,4,44,29.05,406.83,11,bogota
22,41701439,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,11,1,9,29.05,406.83,11,bogota
23,19364461,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,96,1,71,29.05,406.83,11,bogota
24,80410003,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,29,2,25,29.05,406.83,5,antioquia
25,79521380,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,26,1,13,29.05,406.83,11,bogota
26,79424675,132,ciurgia de la mama y tum. de tejidos bla,breast surgery and you of blah fabrics,2008,75,5,52,29.05,406.83,11,bogota
27,70559878,133,cirugia de la mano,hand surgery,2008,200,55,186,25.8,461.0,5,antioquia
28,91265719,133,cirugia de la mano,hand surgery,2008,11,4,9,25.8,461.0,68,santander
29,8302507,133,cirugia de la mano,hand surgery,2008,10,7,9,25.8,461.0,5,antioquia
30,8280683,133,cirugia de la mano,hand surgery,2008,42,55,65,25.8,461.0,5,antioquia
31,79577477,133,cirugia de la mano,hand surgery,2008,4,2,6,25.8,461.0,11,bogota
32,7476268,133,cirugia de la mano,hand surgery,2008,3,2,6,25.8,461.0,5,antioquia
33,71577404,133,cirugia de la mano,hand surgery,2008,12,2,12,25.8,461.0,5,antioquia
34,70084382,133,cirugia de la mano,hand surgery,2008,28,5,34,25.8,461.0,5,antioquia
35,80412356,133,cirugia de la mano,hand surgery,2008,7,2,4,25.8,461.0,11,bogota
36,4605824,133,cirugia de la mano,hand surgery,2008,37,4,34,25.8,461.0,5,antioquia
37,16695135,133,cirugia de la mano,hand surgery,2008,16,6,16,25.8,461.0,76,valle del cauca
38,17189819,133,cirugia de la mano,hand surgery,2008,28,7,26,25.8,461.0,11,bogota
39,19066104,133,cirugia de la mano,hand surgery,2008,17,3,9,25.8,461.0,11,bogota
40,5742557,133,cirugia de la mano,hand surgery,2008,35,3,26,25.8,461.0,5,antioquia
41,16743572,133,cirugia de la mano,hand surgery,2008,19,7,19,25.8,461.0,76,valle del cauca
42,19193326,133,cirugia de la mano,hand surgery,2008,39,3,23,25.8,461.0,11,bogota
43,19295653,133,cirugia de la mano,hand surgery,2008,94,7,56,25.8,461.0,11,bogota
44,35456454,133,cirugia de la mano,hand surgery,2008,36,4,18,25.8,461.0,11,bogota
45,19071821,133,cirugia de la mano,hand surgery,2008,5,2,4,25.8,461.0,11,bogota
46,13471213,134,cirugia del torax,thorax surgery,2008,9,2,6,24.51,1043.87,11,bogota
47,16678878,134,cirugia del torax,thorax surgery,2008,19,1,17,24.51,1043.87,76,valle del cauca
48,70552257,134,cirugia del torax,thorax surgery,2008,3,4,7,24.51,1043.87,11,bogota
49,70558456,134,cirugia del torax,thorax surgery,2008,47,15,57,24.51,1043.87,5,antioquia
50,71675943,134,cirugia del torax,thorax surgery,2008,10,1,13,24.51,1043.87,5,antioquia
51,79291559,136,cirugia gastrointestinal,gastrointestinal surgery,2008,62,2,65,25.51,393.6,11,bogota
52,16725975,136,cirugia gastrointestinal,gastrointestinal surgery,2008,35,2,36,25.51,393.6,76,valle del cauca
53,14877000,136,cirugia gastrointestinal,gastrointestinal surgery,2008,10,1,10,25.51,393.6,76,valle del cauca
54,13361988,136,cirugia gastrointestinal,gastrointestinal surgery,2008,35,2,37,25.51,393.6,8,atlantico
55,10237279,136,cirugia gastrointestinal,gastrointestinal surgery,2008,42,5,71,25.51,393.6,17,caldas
56,73101677,137,cirugia general,general surgery,2008,7,3,10,25.69,375.5,13,bolivar
57,71688257,137,cirugia general,general surgery,2008,14,4,13,25.69,375.5,5,antioquia
58,71608755,137,cirugia general,general surgery,2008,9,4,40,25.69,375.5,5,antioquia
59,73106602,137,cirugia general,general surgery,2008,20,1,20,25.69,375.5,70,sucre
60,71602586,137,cirugia general,general surgery,2008,12,3,21,25.69,375.5,5,antioquia
61,71590228,137,cirugia general,general surgery,2008,133,4,123,25.69,375.5,5,antioquia
62,71579618,137,cirugia general,general surgery,2008,43,8,30,25.69,375.5,5,antioquia
63,70568173,137,cirugia general,general surgery,2008,32,10,38,25.69,375.5,5,antioquia
64,70567144,137,cirugia general,general surgery,2008,517,65,592,25.69,375.5,5,antioquia
65,70563698,137,cirugia general,general surgery,2008,62,4,67,25.69,375.5,5,antioquia
66,70562573,137,cirugia general,general surgery,2008,17,6,20,25.69,375.5,5,antioquia
67,70556781,137,cirugia general,general surgery,2008,2,2,7,25.69,375.5,5,antioquia
