ANO,COD_MEDICO,COD_ESPEC,ESPECIALIDAD,COD_DEP,DEPARTAMENTO
2008,70560384,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,16689168,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,16761285,750,UROLOGIA,76,VALLE DEL CAUCA
2008,14884199,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,120050,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,43084575,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8723059,139,CIRUGIA ONCOLOGICA,05,ANTIOQUIA
2008,16262630,142,CIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,79464694,147,CIRUGIA PLASTICA ONCOLOGICA,08,ATLANTICO
2008,8736241,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,79140069,137,CIRUGIA GENERAL,11,BOGOTA
2008,72161138,341,GINECOLOGIA Y OBSTETRICIA,08,ATLANTICO
2008,31937960,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,10118459,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,19490904,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,45466150,137,CIRUGIA GENERAL,70,SUCRE
2008,79488386,147,CIRUGIA PLASTICA ONCOLOGICA,05,ANTIOQUIA
2008,10289625,143,CIRUGIA PLASTICA,17,CALDAS
2008,158845,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,16619977,142,CIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,8670462,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,10118360,514,ORTOPEDIA Y TRAUMATOLOGIA,66,RISARALDA
2008,70556557,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,70552257,134,CIRUGIA DEL TORAX,11,BOGOTA
2008,8280683,133,CIRUGIA DE LA MANO,05,ANTIOQUIA
2008,13446105,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,10222990,137,CIRUGIA GENERAL,63,QUINDIO
2008,72140291,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,3229856,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,3764285,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,9264129,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,12118036,142,CIRUGIA PEDIATRICA,41,HUILA
2008,12138930,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,12719671,444,NEUROCIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,16657107,341,GINECOLOGIA Y OBSTETRICIA,76,VALLE DEL CAUCA
2008,31939319,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,32674077,200,DERMATOLOGIA,05,ANTIOQUIA
2008,79417348,480,OFTALMOLOGIA,63,QUINDIO
2008,71704341,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,12723379,201,DERMATOLOGIA ONCOLOGICA,20,CESAR
2008,8246121,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8684053,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,9062572,350,HEMATO ONCOLOGIA,05,ANTIOQUIA
2008,10096261,341,GINECOLOGIA Y OBSTETRICIA,05,ANTIOQUIA
2008,19343512,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,63345662,200,DERMATOLOGIA,05,ANTIOQUIA
2008,71651913,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,15241823,750,UROLOGIA,08,ATLANTICO
2008,66809876,143,CIRUGIA PLASTICA,76,VALLE DEL CAUCA
2008,16693809,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,4577627,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,70556781,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,7444894,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,3348213,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,16276096,142,CIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,8238419,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8297618,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,98546072,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,8306483,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,71660739,143,CIRUGIA PLASTICA,05,ANTIOQUIA
